word,translation,phonetic,mastered,sentences
"astronaut","NOUN. 宇航员，航天员，太空人，名宇航员，宇航","/ˈæstrənɔːt/","✗","The astronaut Buzz Aldrin was the second person to walk on the Moon.;Becoming an astronaut was his grail.;The Women Flyers: From Aviatrix to Astronaut"
"atmosphere","NOUN. 气氛，大气，氛围，大气层，气息，空气","/ˈætməsfɪə(r)/","✗","Meronyms: see Thesaurus:atmosphere;Central Casting is in the business of extras, also known as atmosphere or background actors […];By the way, I discovered that we were not extras but background, as far as the director was concerned; and for the producer, we were atmosphere."
"attempt","NOUN. 尝试，企图，试图，试，未遂，意图","/əˈtempt/","✗","to attempt an escape from prison;to attempt the enemy's camp;We made an attempt to cross the stream, but didn't manage."
"attendee","NOUN. 与会者","/əˌtenˈdiː/","✗","O'Reilly, the summit host, remembers a particularly insightful comment from Torvalds, a summit attendee.;PhD candidate and attendee NatalieZed (2015a, 2015b) instead Voldemorted the hashtag by using #Deatheaters – a term for Voldemort’s supporters, also from the Harry Potter novels – to refer to Gamergate harassers: […];10) Burden of expense All expenses, for attending, applying and/or presenting, at the conference will be the responsibility of the attendee or presenter unless stated above."
"attorney","NOUN. 律师，检察官，受权，检察长，代理人，辩护律师，检察，律政司","/əˈtɜːni/","✗","...the prosecuting attorney referred to the defendant as a “murderer” in one instance, and in another as a “redhanded murderer.”;Some stick not to say, that the Parson and Attorney forg’d a Will, for which they were well Paid […];My attorney was waiting in a bar around the corner. “This won't make the nut,” he said, “unless we have unlimited credit.”"
"attribute","NOUN. 属性，定语","/əˈtrɪbjuːt/","✓","His finest attribute is his kindness.;This packet has its coherency attribute set to zero.;A file with the read-only attribute set cannot be overwritten."
"autocrat","NOUN. 独裁者","/ˈɔːtəkræt/","✗","2012, The Economist, Sep 29th 2012 issue, Venezuela’s presidential election: The autocrat and the ballot box
Mr Chávez remains a formidable opponent. […] He has an armlock on the country’s institutions.;The parrot particularly, which may be considered the autocrat of the feathered tribes leads all birddom in the number and variety of diseases to which it is subject.;We tend to justify superstatus, superauthority, and superreward with the proposition that the autocrat must be held responsible for corporate performance."
"autonomy","NOUN. 自治，自主权，自治权，自主，高度自治，自律","/ɔːˈtɒnəmi/","✗","But while assiduously dismissing any though of its own autonomy and proclaiming its victims its judges, it outdoes, in its veiled autocracy, all the excesses of autonomous art.;...[T]he fact that a scientific theory finds applications to a wide variety of different phenomena does not imply anything about the autonomy of this theory from deeper physical laws.;When Nimeiri ended that autonomy in 1983, the south took up arms. This Second Sudanese Civil War ended only after four years of formal talks […]"
"backdrop","NOUN. 背景下，背景，天幕，幕布","/ˈbækdrɒp/","✗","The president spoke outside the brick exterior of the firehouse for Ladder Company 10 and Engine Company 10, against the backdrop of a 56-foot-long bronze bas-relief depicting the towers in flames.;Against a backdrop of falling interest rates, the new savings account is looking less appealing.;Against this backdrop, RDG said it needed to ""review historic working practices so that the railway can respond to changing passenger needs and enable future growth""."
"ballot","NOUN. 选票，投票，抽签，无记名投票，张选票，投票表决，选举权","/ˈbælət/","✗","July 1836, A. B. (initials of author), London and Westminster Review Article XI, Bribery and Intimidation at Elections
the insufficiency of the ballot;In the TSSA ballot, 80% of management grade and 60% of general grade members voted to accept, on an overall turnout of 57%.;to ballot for a candidate"
"bestselling","VERB. 畅销书，畅销","/ˌbestˈselɪŋ/","✗","THE SPIKE is the acclaimed bestselling superthriller of today-but it may be the frightening reality of tomorrow.;Bestselling author Christopher McDougall enthusiastically praised Laura's novel by calling it ""a hellride of a story"". He remarks on the ""courage"", ""adventure"", and ""charisma"" of Louis […];[…] including the 1925 silent film Peacock Feathers, based on the bestselling novel of the same name written by Temple Bailey (1885-1953)."
"bid","NOUN. 出价，投标，申办，竞标，竞价，招标，报价，招投标，收购，标","/bɪd/","✗","It has been repeatedly documented that moving patients from a TID dosing regimen to BID or OD vastly improves compliance, and thus the medicine's effectiveness.;In his cloak of words strode the ringmaster, / Bid me join the parade;Have you ever bid in an auction?"
"blame","VERB. 责怪，怪，责备，指责，怪罪，归咎，埋怨，谴责 NOUN. 责任","/bleɪm/","✗","Blame came from all directions.;The blame for starting the fire lies with the arsonist.;They accepted the blame, but it was an accident."
"blast","NOUN. 爆炸，爆破，鼓风，稻瘟病，爆，高炉，冲击波，炮，冲击 VERB. 炸","/blɑːst/","✗","many tons of iron were melted at a blast;Blast was produced by bellows worked by four 'blowers', three of whom worked at a time while the fourth stood ready to replace one of the others.;arc blast"
"blend","NOUN. 混合，交融，共混，混纺，共混物，融合，混，调和，配方 VERB. 融入","/blend/","✗","Their music has been described as a blend of jazz and heavy metal.;Our department has a good blend of experienced workers and young promise.;To make hummus you need to blend chickpeas, olive oil, lemon juice and garlic."
"bloat","NOUN. 膨胀，臃肿 VERB. 胀气","/bləʊt/","✗","1675, John Dryden, Prologue to Circe by Dr. Davenant
Encourage him, and bloat him up with Praise;Adding an e-mail feature to this simple text editor would be pointless bloat.;Let the bloat king tempt you again to bed"
"boredom","NOUN. 无聊，厌倦，厌烦，解闷，百无聊赖，乏味，苦闷，烦闷","/ˈbɔːdəm/","✗","numb with shock; numb with boredom;Most soldiers would testify that the everyday experience of war is long stretches of boredom punctuated by sudden, terrifying spells of disorder.;For all the boredom the straight life brings, it's not too bad."
"brag","VERB. 吹牛，吹嘘，自夸，炫耀，自吹自擂，夸耀","/bræɡ/","✗","to brag of one's exploits, courage, or money;a woundy, brag young fellow;'It's because he's a no-good son of a bitch who thinks it is smart to lay his friends' wives and brag about it.'"
"brain","NOUN. 大脑，脑，脑子，颅脑，人脑，脑袋，头脑","/breɪn/","✗","The left brain, or that which supplies and animates the right side of the body, is the most active brain, as a general rule.;She was a total brain.;Gerald always acts like he doesn't have a brain."
"bulk","NOUN. 大宗，批量，散装，散货，散，大块，体积，大部分，体","/bʌlk/","✗","The Quantity of Matter is the measure of the same, arising from its density and bulk conjunctly.;“ Didn't Balbus say this morning that, if a body is immersed in liquid, it displaces as much liquid as is equal to its own bulk? ” said Hugh.;By this process the body of the oyster acquires such a plumpness and rotundity, and its bulk and weight are so increased, as to materially increase its selling value."
"bumper","NOUN. 保险杠，缓冲器，丰收","/ˈbʌmpə(r)/","✗","Yet can I gulp a bumper to thy name,— / O smile among the shades, for this is fame!;We harvested a bumper crop of arugula and parsnips this year.;a bumper collection of silly jokes"
"buttress","VERB. 支持","/ˈbʌtrəs/","✗","Crowell Buttresses, Dismal Buttress;Two short pitches up a chimney-crack are followed by a traverse right to the centre of the buttress.;the grand pillar and buttress of the good old cause of nonconformity"
"cable","NOUN. 电缆，索，有线，有线电视，线缆，缆，缆索，拉索，光缆，电报，线","/ˈkeɪbl/","✗","Work sleeve, sl raglan marker, work in ribbing as est to cable marker;I tried to watch the movie last night but my cable was out.;He had warped round with the springs on his cable, and had recommenced his fire upon the Aurora."
"camp","NOUN. 营地，阵营，营，夏令营，训练营，露营，集中营，野营，军营，难民营，帐篷","/kæmp/","✗","a hunter's camp;Lantana is a sweet camp. It's an old hospital that has been converted to a drug treatment center for prisoners.;Some players like to camp next to a power-up's spawning point."
"candidacy","NOUN. 参选，候选人","/ˈkændɪdəsi/","✗","A scrum formed around Scott Brison in the House of Commons lobby shortly after he announced his candidacy for the federal Liberal leadership.;Let it be borne in mind, moreover, that since the period of his last candidacy he has rendered the most memorable services to the country;However, this almost certainly happened because of the third party candidacy of former Republican President Theodore Roosevelt"
"candle","NOUN. 蜡烛，支蜡烛，烛，根蜡烛，烛光，烛火，蜡","/ˈkændl/","✗","light a candle;snuff out the candle;The candle burns blue."
"capital","NOUN. 资本，首都，资金，资本金，首府，省会，资产，资","/ˈkæpɪtl/","✗","He does not have enough capital to start a business.;Washington D.C. is the capital of the United States of America.;Hollywood is the film capital, New York the theater capital, Las Vegas the gambling capital."
"capitalize","VERB. 大写，利用","/ˈkæpɪtəlaɪz/","✗","There was then a long discussion of whether to capitalize words like ""east"".;The home team took several shots on goal but was unable to capitalize until late in the game.;But the Dippers should hold their applause, since their party doesn't have the grassroots organization or the roster of good candidates it needs to capitalize on their leader's popularity."
"cast","VERB. 投，施放，投射，赶 NOUN. 铸，铸造，强制转换，铸态，演员","/kɑːst/","✗","Near Puerto Limon, Costa Rica, Madman, co-pilot and plane were caught in a storm, cast into the Caribbean, drowned.;when the serjeant saw me, he cast his coat and put it on me, and they carried me on their shoulders to a village where the wounded were and our surgeons[…].;You know the saying, ""Ne'er cast a clout till May is out""? Well, personally, I'm bored of my winter clothes by March."
"cauterize","X. 使麻木不仁，烧灼，烧灼，烙","/ˈkɔːtəraɪz/","✗","Ligate or cauterize small subcutaneous bleeders and identify the linea alba.;For a stronger vegetable flavor, you can cauterize vegetables on both sides in a dry hot skillet.;This point method is used to treat small areas of the skin, for example, to cauterize warts."
"cede","VERB. 割让，放弃","/siːd/","✗","Edward decided to cede the province.;Within a non-theme, transitionals cede to rhematics, the transition itself being lowest on the CD scale.;Instead, the shares are held by a superentity called Cede & Company in an arrangement administered by the Depositary Trust and Clearing Corporation."
"centrifuge","NOUN. 离心机，离心，料离心机","/ˈsentrɪfjuːdʒ/","✗","Turbinado is usually made by squeezing the juice out of crushed sugar cane, then spinning what's left after evaporation through a huge centrifuge.;Mr. Gannon loaded the racks inside the centrifuge with two beeless honeycombs, then stepped back and let Julian begin spinning them with a hand crank.;Start the securely anchored centrifuge and slowly increase to the proper speed (2000 – 2500 rpm). Solvent will be rapidly expelled from the drainpipe."
"ceremony","NOUN. 仪式，典礼，礼，庆典，婚礼，开幕式，礼节，礼仪","/ˈserəməni/","✗","a graduation ceremony, an opening ceremony;Monsieur Bridet, notwithstanding his costume and his evident harrassment [sic], found in himself the presence of mind to remain the attentive manager, and with ceremony effected the proper introduction.;They went into the bars and interrupted the drinking, hustling the men out without ceremony."
"certain","ADJ. 某些，一定，特定，某，肯定，确定，若干，一些，某个，有些","/ˈsɜːtn/","✗","I was certain of my decision.;Now that more experiments have been run, the theory is certain and the argument is settled.;It is certain that Spain will reach the finals. / Spain is now certain to reach the finals. / Spain is now certain of a place in the finals."
"challenger","NOUN. 挑战","/ˈtʃælɪndʒə(r)/","✓","The defending champion is expected to defeat his challenger.;The champion hopes to defeat his new challenger in the game to remain undefeated.;The launch temperature was a factor of the Challenger disaster."
"chronological","ADJ. 年代，年月，实足","/ˌkrɒnəˈlɒdʒɪkl/","✗","He is 67 in chronological age, but has the mind and body of someone 55.;The live report lists all the events in chronological order.;As a result, I shifted my approach to focus on group-generated activities and broadened the chronological time frame."
"church","NOUN. 教堂，教会，座教堂，堂，礼拜","/tʃɜːtʃ/","✗","There is a lovely little church in the valley.;This building used to be a church before being converted into a library.;These worshippers make up the Church of Christ."
"churn","NOUN. 流失，搅拌器","/tʃɜːn/","✗","a butter churn;the dasher of a churn;Yet another seriously under-par performance is unlikely to provide any real answers to their remarkable plummet in form - but it proves they can at least churn out a much-needed result."
"clout","NOUN. 影响力，底气，势力","/klaʊt/","✗","[…]ethics officers themselves often complain that they can recommend but have little clout with which to create real change.;The chopped mushrooms add depth to both the Waitrose and the Go-Go Vegan recipe, but what gives the latter some real clout on the flavour front is a teaspoon of Marmite.;‘Such a clout on the ear as you gave me… But I soon taught you.’"
"clunky","ADJ. 笨重，笨拙","/ˈklʌŋki/","✗","You might find yourself listening to the sound your car door makes when it shuts. Is it a cheap tinny sound or a strong clunky sound like the VW?;I could tell that some of the guests were confused by the name of Maggie―no-one had called her by that clunky, unfashionable name in years;That culture waned in the late 80's and the 90's —remember Jerry Seinfeld in his clunky, generic white sneakers— but now the sneakerhead is back."
"coalition","NOUN. 联盟，联军，联合政府，执政联盟，同盟","/ˌkəʊəˈlɪʃn/","✗","This is the incredible moment a juvenile ostrich attempts to outrun a coalition of cheetahs that forms a central part of the latest BBC programme to be presented by Sir David Attenborough.;The Liberal Democrats and Conservative parties formed a coalition government in 2010.;Majed Sultan Ali was on his second visit to the game reserve in a bid to photograph a coalition of cheetahs."
"coarsen","X. (使)变粗","/ˈkɔːsn/","✗","[…] as the years went by, democracy and its wide audiences tended to broaden and coarsen humor.;Because the wool is of poor quality, it will coarsen the fabric.;In this paper, we consider the complementary problem of learning to coarsen graphs for a multigrid solver."
"cohort","NOUN. 队列，小卒，世代 ADJ. 群组","/ˈkəʊhɔːt/","✗","A sin, an instant of rebellious pride of the intellect, made Lucifer and a third part of the cohort of angels fall from their glory.;A lost dog? — Yes. No succoring cohort surges to the relief. A gang of boys, perhaps, may give chase, but assuredly not in kindness.;The 18-24 cohort shows a sharp increase in automobile fatalities over the proximate age groupings."
"collateral","NOUN. 抵押，抵押品，担保品，附带，络，担保，侧枝，间接","/kəˈlætərəl/","✗","collateral damage;Although not a direct cause, the border skirmish was certainly a collateral incitement for the war.;Uncles, aunts, cousins, nephews and nieces are collateral relatives."
"competition","NOUN. 竞争，比赛，竞赛，大赛，竞争力，竞争对手，赛","/ˌkɒmpəˈtɪʃn/","✗","The competition for this job is strong.;The newspaper is featuring a competition to win a car.;The new stain remover was ten times more effective than the competition."
"comprehensive","ADJ. 综合，全面，综合性，全方位，综，完善，完备，整体","/ˌkɒmprɪˈhensɪv/","✗","It is our conviction that piecemeal critiques of nontheisms will not suffice. The theist must enter the arena with a positive and comprehensive case of his own.;When there are diametrically opposing views on a big issue that concerns millions of people, doing comprehensive research just makes sense.;Damaged stone will be removed, and the new stone installed and pointed to ensure a comprehensive match to maintain the integrity of the structure."
"concatenation","NOUN. 串连，串联，拼接，级联","/kənˌkætəˈneɪʃn/","✗","A fundamental operation on strings is string concatenation which we will denote by juxtaposition.;The genius of Puritanism, with all its forefixed concatenation of misdeeds and punishments, had served me out properly.;Appending items one at a time is still a better deal than concatenation, which reallocates every time."
"concern","NOUN. 关注，关心，关怀，关切，担忧，担心，忧虑","/kənˈsɜːn/","✗","Mark’s health was of great concern to Connie.;Most people in Australia have no concern for the recent events in London.;Judy's eyes filled with concern as she listened to the news report."
"conspiracy","NOUN. 阴谋，共谋，合谋，密谋，同谋，串，谋","/kənˈspɪrəsi/","✗","This is some conspiracy, I suppose, to bam, to chouse me out of my money;The Oregon Zoo welcomed two red-ruffed lemurs this week, bringing the total number in the conspiracy — the name for a group of lemurs — to seven.;Coordinate term: conspiracy"
"constipation","NOUN. 便秘","/ˌkɒnstɪˈpeɪʃn/","✗","Sedentary occupations are likely to result in undertone, and this undertone not being relieved by physiological means, constipation is a probable outcome.;It has been a clinical observation with me that the majority of chronic rheumatics are likewise the subjects of chronic constipation.;During August the tumor again grew rapidly, causing dyspnœa, constipation and general malaise."
"constitutional","ADJ. 违宪，宪法，政制，宪制，宪政，立宪，宪法赋予，修宪，宪法规定，体质","/ˌkɒnstɪˈtjuːʃənl/","✗","a constitutional infirmity   constitutional ardour or dullness;a constitutional walk;a constitutional right   constitutional reforms"
"constraint","NOUN. 约束，约束条件，限制，制约","/kənˈstreɪnt/","✗","An engineer must recognize the difference between a constraint (to work within) and a problem (to be eliminated via resolution).;As on the docks, a wartime Essential Work Order gave the miners a minimum weekly wage and 'ring-fenced' employment in the industry. This constraint was not removed until 1950.;If Q(t) < qᵖ then primary generation ramps up at maximal rate, subject to the constraint that Q(t) does not exceed this threshold."
"construct","VERB. 构建，构造，建设，建构，构筑，建造，兴建，营造","/kənˈstrʌkt/","✗","The artwork was a construct of wire and tubes.;Bohr's theoretical construct of the atom was soon superseded by quantum mechanics.;The Vietnam War films are forms of memory that function to provide collective rememberings, to construct history, and to subsume within them the experience of the veterans."
"contrast","NOUN. 对比，对比度，反差，相反，造影，对照，相比之下，相比，衬，相对","/ˈkɒntrɑːst/","✗","The red and the orange don't have much contrast between them — I can hardly tell them apart.;Ohh, you can't fool me. This thing's top of the line! It's got two contrast knobs!;... there is no quality in this world that is not what it is merely by contrast."
"convict","VERB. 定罪，宣判，有罪 NOUN. 犯事，罪犯，囚犯，犯人，逃犯","/kənˈvɪkt/","✗","A single fleck of wool from his sock got caught on a splintery floorboard and that was enough to convict him.;They could only convict him by railroading him on suspect drug-possession charges.;to strain the law in order to convict an accused person"
"convince","VERB. 说服，信服，劝服，劝，劝说","/kənˈvɪns/","✗","“Sounds like y'all are playing musical houses. How did you convince your mama to move to Austin?”;Such convincing proofs and assurances of it as might enable them to convince others.;She's been chained to her principles since she was 18, it's unlikely you can convince her otherwise."
"coronation","NOUN. 加冕，加冕典礼，加冕礼","/ˌkɒrəˈneɪʃn/","✗","King Charles III’s coronation is to be much less elaborate compared to his mother’s.;Over the mantelpiece, which is high, with brass candlesticks and two ‘Coronation’ tumblers in enamel, hangs a picture of Venice, from one of [William Thomas] Stead’s Christmas Numbers – nevertheless, satisfactory enough.;And now, Clevelanders hoping to bring the Rock Roll Hall of Fame to their city are throwing a bash to commemorate the 34th birthday of disc Jockey Alan Freed's ""Moondog Coronation Ball""."
"corp","NOUN. 总公司，集团，公司，股份有限公司，有限公司，集团公司","kˈɔːp","✗","Corp's face shone, but Gavinia said at once, ""You werena sic great friends as that; were you, man?"";Create a new, quite separate, private company – say Murdoch Newspaper Holdings – and give it all, or most of, the papers that News Corp owns.;He kenned not whether it was devil or mortal, but flung himself on the roadside and lay like a corp for an hour or more, till the rain aroused him."
"corporate","ADJ. 企业，公司，法人","/ˈkɔːpərət/","✗","But electric vehicles and the batteries that made them run became ensnared in corporate scandals, fraud, and monopolistic corruption that shook the confidence of the nation and inspired automotive upstarts.;The one on Seventh Street is a corporate franchise.;McDonald's corporate issued a new policy today."
"cosmic","ADJ. 宇宙，宇宙射线","/ˈkɒzmɪk/","✗","Humpty Dumpty is the cosmic egg, the wall, the edge between transcendence and existence. As nothing breaks up into the world of things, the movement toward entropy becomes irreversible.;cosmic speed;The human understanding, for example—the faculty which Mr. Spencer has turned so skillfully round upon its own antecedents—is itself a result of the play between organism and environment through cosmic ranges of time."
"counterproductive","ADJ. 适得其反，反作用，事与愿违","/ˌkaʊntəprəˈdʌktɪv/","✗","The curse has been Spanish ineptitude feeding Gibraltarian intransigence. Border hold-ups are counterproductive to winning hearts and minds, as were blundering Argentinian landings on the outer Falklands.;In short, he is an indulger, a manipulator of texture, and ultimately counterproductive to this group’s strengths.;Indeed, if the aim is to minimize the risk of dictatorship, or just to take optimal precautions against it, tyrannophobia might be counterproductive, for reasons we will discuss."
"creep","NOUN. 蠕变，徐变，蠕，爬行，蠕动，讨厌鬼，流变，蔓延 VERB. 爬","/kriːp/","✗","He tried to creep past the guard without being seen.;Paranoia strikes deep / Into your life it will creep / It starts when you're always afraid / Step out of line, the man come and take you away;The collodion on a negative, or a coat of varnish, may creep in drying."
"crocodile","NOUN. 鳄鱼，鳄，鳄鱼皮","/ˈkrɒkədaɪl/","✗","The San Juan market is Mexico City's most famous deli of exotic meats, where an adventurous shopper can hunt down hard-to-find critters such as ostrich, wild boar and crocodile.;Mrs. Kenwigs was horror-stricken to think that she should ever have nourished in her bosom such a snake, adder, viper, serpent, and base crocodile, as Henrietta Petowker.;Two species of crocodile inhabit Australian waterways: (a) the saltwater Crocodile — Crocodylus porosus, and (b) the freshwater crocodile — Crocodylus johnstoni."
"cruise","NOUN. 巡航，邮轮，游船，克鲁斯，游轮，巡游，巡航导弹，航行，游艇","/kruːz/","✗","He departed with the Naniwa and the Hashidate²⁰ for a two day cruise, skirting the Wuchiu and Hui Ch’uan Islands and the shore of Fukien Province.;I ended my cruise of four years in the Marine Corps at the first Officers' Training Camp for enlisted men at Quantico […];The New Orleans had to have numerous alterations made, and as the Chicago was just about going into commission, I was ordered to that ship to finish my cruise."
